Gene1,Gene2,Correlation
6688,7940,0.9577548929068768
6688,2124,0.9018071675021785
6688,728,0.9405450760681882
6688,3020,0.9103736865803689
6688,4542,0.8893715168548175
6688,3687,0.8821379124909119
6688,409,0.9678382805870838
6688,120425,0.9509428001948977
6688,597,0.8854466152223329
6688,7408,0.9420129245933525
6688,3055,0.9882297557067553
6688,51734,0.9170374645470855
6688,64386,0.8695667840758478
6688,3059,0.9313816431105856
6688,976,0.857868886488407
6688,2268,0.888212936627606
6688,64115,0.9751788669898878
6688,11337,0.9346732163631654
6688,1439,0.8575057778832145
6688,2212,0.9145627012764322
6688,7127,0.8724109200108341
6688,10094,0.9269113484964823
6688,4046,0.9227931240863552
6688,7086,0.9020721376106814
6688,1051,0.8808329885756769
6688,63940,0.8728814778402508
6688,7846,0.8954402088249225
6688,407008,0.8919130049569911
6688,4689,0.9163363173235505
6688,2771,0.9457617234058089
6688,2783,0.9593897037771347
6688,2217,0.9420057206680802
6688,7439,0.894665337373392
6688,4814,0.9076703766593403
6688,1052,0.9271502670778228
6688,290,0.9306458915649994
6688,1192,0.954227235495503
6688,6556,0.8895333271056294
6688,11025,0.9313237859496697
6688,2752,0.8802730223658979
6688,92799,0.9102697440174101
6688,79143,0.9119651023401005
6688,9445,0.8528467277466869
6688,391,0.936867874541417
6688,29992,0.9495971693386807
6688,27128,0.8826322031126476
6688,5093,0.8979176425663622
6688,4084,0.8656994254959424
6688,240,0.9081340529859521
6688,6386,0.9199660139078761
6688,6648,0.8555008116403526
6688,54458,0.9379242591881759
6688,5777,0.9019281524951319
6688,978,0.9344640090196454
6688,677,0.8656724635392508
6688,64581,0.8886959231979629
6688,10288,0.8763556835766232
6688,4778,0.8677879799464288
6688,7454,0.9474566877151859
6688,963,0.8978559329582645
6688,23401,0.8684337144059905
6688,10487,0.9007231057589026
6688,9802,0.8692426681567469
6688,9473,0.9260763705300001
6688,7133,0.9005449084604369
6688,837,0.8599933553405795
6688,2358,0.8531008431089218
6688,10211,0.8740872610755485
6688,6398,0.92736287854811
6688,170954,0.8868084954385234
6688,126364,0.9612035659174377
6688,7132,0.908360380500046
6688,55505,0.9265085859727987
6688,81671,0.8691299439029987
6688,65220,0.8619163557965954
6688,7879,0.9371779238715405
6688,533,0.9553388934374185
6688,54518,0.8777625701628935
6688,4615,0.9205184745218156
6688,5538,0.9044823852404212
6688,116985,0.9384411457015782
6688,55911,0.9049805586775197
6688,79930,0.9494972525421056
